S. No.,Heading / Chapter,Description of Service,CGST Rate (%),SGST / UTGST Rate (%),IGST Rate (%),Condition
3,Heading 9954 (Construction services),"(viii) Composite supply of works contract as defined in clause (119) of section 2 of the Central Goods and Services Tax Act, 2017 and associated services, in respect of offshore works contract relating to oil and gas exploration and production (E&P) in the offshore area beyond 12 nautical miles from the nearest point of the appropriate base line.",6,6,12,
3,Heading 9954 (Construction services),"(x) Composite supply of works contract as defined in clause (119) of section 2 of the Central Goods and Services Tax Act, 2017 provided by a sub-contractor to the main contractor providing services specified in item (vii) above to the Central Government, State Government, Union territory or a local authority",6,6,12,
3,Heading 9954 (Construction services),"(xi) Services by way of house-keeping, such as plumbing, carpentering, etc. where the person supplying such service through electronic commerce operator is not liable for registration under sub-section (1) of section 22 of the Central Goods and Services Tax Act, 2017.",2.5,2.5,5,Provided that credit of input tax charged on goods and services has not been taken [Please refer to Explanation no. (iv)]
3,Heading 9954 (Construction services),"(xii) Construction services other than (i), (ia), (ib), (ic), (id), (ie), (if), (vii), (viii), (x) and (xi) above. Explanation. - For the removal of doubt, it is hereby clarified that, supply by way of services specified at items (i), (ia), (ib), (ic), (id), (ie) and (if) in column (3) shall attract integrated tax prescribed against them in column (4) subject to conditions specified against them in column (5) and shall not be levied at the rate as specified under this entry.",9,9,18,
4,Section 6,"Distributive Trade Services; Accommodation, Food and Beverage Service; Transport Services; Gas and Electricity Distribution Services",,,,
5,Heading 9961,"Services in wholesale trade. Explanation-This service does not include sale or purchase of goods but includes: – Services of commission agents, commodity brokers, and auctioneers and all other traders who negotiate whole sale commercial transactions between buyers and sellers, for a fee or commission’ – Services of electronic whole sale agents and brokers, – Services of whole sale auctioning houses.",9,9,18,-
6,Heading 9962,Services in retail trade. Explanation- This service does not include sale or purchase of goods,9,9,18,-
7,"Heading 9963 (Accommodation, food and beverage services)",(i) Supply of “hotel accommodation” having value of supply of a unit of accommodation less than or equal to seven thousand five hundred rupees per unit per day or equivalent.,6,6,12,-
7,"Heading 9963 (Accommodation, food and beverage services)",(ii) Supply of ‘restaurant service’ other than at ‘specified premises’,2.5,2.5,5,Provided that credit of input tax charged on goods and services used in supplying the service has not been taken [Please refer to Explanation no. (iv)]
7,"Heading 9963 (Accommodation, food and beverage services)","(iii) Supply of goods, being food or any other article for human consumption or any drink, by the Indian Railways or Indian Railways Catering and Tourism Corporation Ltd. or their licensees, whether in trains or at platforms.",2.5,2.5,5,Provided that credit of input tax charged on goods and services used in supplying 2 the service has not been taken [Please refer to Explanation no. (iv)]
7,"Heading 9963 (Accommodation, food and beverage services)","(iv) Supply of ‘outdoor catering’, at premises other than ‘specified premises’ provided by any person other than- (a) suppliers providing ‘hotel accommodation’ at ‘specified premises’, or (b) suppliers located in ‘specified premises’.",2.5,2.5,5,Provided that credit of input tax charged on goods and services used in supplying the service has not been taken [Please refer to Explanation (iv)]
7,"Heading 9963 (Accommodation, food and beverage services)","(v) Composite supply of “outdoor catering‟ together with renting of premises (including hotel, convention center, club, pandal, shamiana or any other place, specially arranged for organising a function) at premises other than “specified premises” provided by any person other than- (a) suppliers providing “hotel accommodation” at “specified premises”, or (b) suppliers located in „specified premises‟.",2.5,2.5,5,Provided that credit of input tax charged on goods and services used in supplying the service has not been taken [Please refer to Explanation (iv)]
7,"Heading 9963 (Accommodation, food and beverage services)","(vi) Accommodation, food and beverage services other than (i) to (v) above Explanation: (a) For the removal of doubt, it is hereby clarified that, supplies covered by items (ii), (iii), (iv) and (v) in column (3) shall attract central tax prescribed against them in column (4) subject to conditions specified against them in column (5), which is a mandatory rate and shall not be levied at the rate as specified under this entry. (b) This entry covers supply of ‘restaurant service’ at ‘specified premises’ (c) This entry covers supply of ‘hotel accommodation’ having value of supply of a unit of accommodation above seven thousand five hundred rupees per unit per day or equivalent. (d) This entry covers supply of ‘outdoor catering’, provided by suppliers providing ‘hotel accommodation’ at ‘specified premises’, or suppliers located in ‘specified premises’. (e) This entry covers composite supply of ‘outdoor catering’ together with renting of premises (including hotel, convention center, club, pandal, shamiana or any other place, specially arranged for organising a function) provided by suppliers providing ‘hotel accommodation’ at ‘specified premises’, or suppliers located in ‘specified premises’.",9,9,18,
8,Heading 9964 (Passenger transport services),"(i) Transport of passengers, with or without accompanied belongings, by rail in first class or air conditioned coach.",2.5,2.5,5,"Provided that credit of input tax charged in respect of goods used in supplying the service is not utilised for paying integrated tax, central tax, state tax or union territory tax on the supply of the service"
8,Heading 9964 (Passenger transport services),"(ii) Transport of passengers, with or without accompanied belongings by- (a) air conditioned contract carriage other than motorcab; (b) air conditioned stage carriage; (c) radio taxi. Explanation.- (a) “contract carriage” has the meaning assigned to it in clause (7) of section 2 of the Motor Vehicles Act, 1988 (59 of 1988); (b) “stage carriage” has the meaning assigned o it in clause (40) of section 2 of the Motor Vehicles Act, 1988 (59 of 1988) ; (c) “radio taxi” means a taxi including a radio cab, by whatever name called, which is in two-way radio communication with a central control office and is enabled for tracking using Global Positioning System (GPS) or General Packet Radio Service (GPRS).",2.5,2.5,5,Provided that credit of input tax charged on goods [and]53 services used in supplying the service has not been taken [Please refer to Explanation no.(iv)]
8,Heading 9964 (Passenger transport services),"(iii) Transport of passengers, with or without accompanied belongings, by air in economy class.",2.5,2.5,5,Provided that credit of input tax charged on goods used in supplying the service has not been taken [Please refer to Explanation no.(iv)]
8,Heading 9964 (Passenger transport services),"(iv) Transport of passengers, with or without accompanied belongings, by air, embarking from or terminating in a Regional Connectivity Scheme Airport, as notified by the Ministry of Civil Aviation.",2.5,2.5,5,Provided that credit of input tax charged on goods used in supplying the service has not been taken [Please refer to Explanation no.(iv)]
8,Heading 9964 (Passenger transport services),"(iva) Transportation of passengers, with or without accompanied baggage, by air, by non-scheduled air transport service or charter operations, engaged by specified organisations in respect of religious pilgrimage facilitated by the Government of India, under bilateral arrangement.",2.5,2.5,5,Provided that credit of input tax charged on goods used in supplying the service has not been taken [Please refer to clause (iv) of paragraph 4 relating to Explanation
8,Heading 9964 (Passenger transport services),"(v) Transport of passengers by air, with or without accompanied belongings, in other than economy class.",6,6,12,-
8,Heading 9964 (Passenger transport services),(vi) Transport of passengers by any motor vehicle designed to carry passengers where the cost of fuel is included in the consideration charged from the service recipient.,2.5,2.5,5,"Provided that credit of input tax charged on goods and services used in supplying the service, other than the input tax credit of input service in the same line of business (i.e. service procured from another service provider of transporting passengers in a motor vehicle or renting of a motor vehicle), has not been taken. [Please refer to Explanation no. (iv)]"
8,Heading 9964 (Passenger transport services),"“(via) Transport of passengers, with or without accompanied belongings, by ropeways.",2.5,2.5,5,The credit of input tax charged on goods used in supplying the service has not been taken. [Please refer to Explanation no. (iv)]”;
8,Heading 9964 (Passenger transport services),"(vii) Passenger transport services other than (i), (ii), (iii), (iv), (iva), (v), (vi) and (via) above.",9,9,18,-
9,Heading 9965 (Goods transport services),(i) Transport of goods by rail (other than services specified at item no. (iv)).,2.5,2.5,5,"Provided that credit of input tax charged in respect of goods in supplying the service is not utilised for paying integrated tax, central tax, state tax or union territory tax on the supply of the service"
9,Heading 9965 (Goods transport services),(ii) Transport of goods in a vessel including services provided or agreed to be provided by a person located in non-taxable territory to a person located in non-taxable territory by way of transportation of goods by a vessel from a place outside India up to the customs station of clearance in India.,2.5,2.5,5,"Provided that credit of input tax charged on goods (other than on ships, vessels including bulk carriers and tankers) used in supplying the service has not been taken Explanation: This condition will not apply where the supplier of service is located in non- taxable territory. Please refer to Explanation no. (iv)]"
9,Heading 9965 (Goods transport services),"(iii) Services of Goods Transport Agency (GTA) in relation to transportation of goods (including used house hold goods for personal use) supplied by a GTA where,-",,,,
9,Heading 9965 (Goods transport services),(a) GTA does not exercise the option to itself pay GST on the services supplied by it;,2.5,2.5,5,The credit of input tax charged on goods and services used in supplying the service has not been taken. [Please refer to Explanation no. (iv)]
9,Heading 9965 (Goods transport services),(b) GTA exercises the option to itself pay GST on services supplied by it.,2.5 or 6,2.5 or 6,5 or 12,"(1) In respect of supplies on which GTA pays tax at the rate of 2.5%, GTA shall not take credit of input tax charged on goods and services used in supplying the service. [Please refer to Explanation no. (iv)] (2) The option by GTA to itself pay GST on the services supplied by it during a Financial Year shall be exercised by making a declaration in Annexure V on or before the 15th March of the preceding Financial Year: Provided that the option for the Financial Year 2022-2023 shall be exercised on or before the 16th August, 2022: Provided further that invoice for supply of the service charging Central tax at the rates as applicable to clause (b) may be issued during the period from the 18th July,2022 to 16th August, 2022 before exercising the option for the financial year 2022-2023 but in such a case the supplier shall exercise the option to pay GST on its supplies on or before the 16th August,2022.”"
9,Heading 9965 (Goods transport services),"(v) Transportation of [natural gas, petroleum crude, motor spirit (commonly known as petrol), high speed diesel or aviation turbine fuel]59 through pipeline",2.5,2.5,5,Provided that credit of input tax charged on goods and services used in supplying the service has not been taken [Please refer to Explanation no. (iv)]
9,Heading 9965 (Goods transport services),"(vi) Multimodal transportation of goods. Explanation 1.- (a) “multimodal transportation” means carriage of goods, by at least two different modes of transport from the place of acceptance of goods to the place of delivery of goods by a multimodal transporter; (b) “mode of transport” means carriage of goods by road, air, rail, inland waterways or sea; (c) “multimodal transporter” means a person who,- (A) enters into a contract under which he undertakes to perform multimodal transportation against freight; and (B) acts as principal, and not as an agent either of the consignor, or consignee or of the carrier participating in the multimodal transportation and who assumes responsibility for the performance of the said contract. Explanation 2.- Nothing contained in this item shall apply to supply of a service other than by way of transport of goods from a place in India to another place in India.",6,6,12,-
9,Heading 9965 (Goods transport services),(via) Transport of goods by ropeways.,2.5,2.5,5,The credit of input tax charged on goods used in supplying the service has not been taken. [Please refer to Explanation no. (iv)]”;
9,Heading 9965 (Goods transport services),"(vii) Goods transport services other than (i), (ii), (iii), (iv), (v), (vi) and (via) above.",9,9,18,-
10,Heading 9966 Rental services of transport vehicles [with operators],(i) Renting of any motor vehicle designed to carry passengers where the cost of fuel is included in the consideration charged from the service recipient.,2.5,2.5,5,"Provided that credit of input tax charged on goods and services used in supplying the service, other than the input tax credit of input service in the same line of business (i.e.service procured from another service provider of transporting passengers in a motor vehicle or renting of a motor vehicle) has not been taken., [Please refer to Explanation no. (iv)]"
10,Heading 9966 Rental services of transport vehicles [with operators],(ia) Renting of goods carriage where the cost of fuel is included in the consideration charged from the service recipient.,6,6,12,
10,Heading 9966 Rental services of transport vehicles [with operators],[(ii) Time charter of vessels for transport of goods.,2.5,2.5,5,"Provided that credit of input tax charged on goods (other than on ships, vessels including bulk carriers and tankers) has not been taken [Please refer to Explanation no. (iv)]"
10,Heading 9966 Rental services of transport vehicles [with operators],"(iii) Rental services of transport vehicles with operators, other than (i), (ia) and (ii) above.",9,9,18,-
11,Heading 9967 (Supporting services in transport),"Supporting services in transport. Explanation: This entry does not include goods transport service involving Goods Transport Agency (GTA) service, which falls under Heading 9965.",9,9,18,-
12,Heading 9968,Postal and courier services.,9,9,18,-
13,Heading 9969,"Electricity, gas, water and other distribution services.",9,9,18,-
14,Section 7,Financial and related services; real estate services; and rental and leasing services.,,,,
15,Heading 9971 (Financial and related services),"(ii) Transfer of the right to use any goods for any purpose (whether or not for a specified period) for cash, deferred payment or other valuable consideration.",Same rate of central tax as on supply of like goods involving transfer of title in goods,Same rate of state/UT tax as on supply of like goods involving transfer of title in goods,Same rate of integrated tax as on supply of like goods involving transfer of title in goods,-
15,Heading 9971 (Financial and related services),(iii) Any transfer of right in goods or of undivided share in goods without the transfer of title thereof.,Same rate of central tax as on supply of like goods involving transfer of title in goods,Same rate of state/UT tax as on supply of like goods involving transfer of title in goods,Same rate of integrated tax as on supply of like goods involving transfer of title in goods,-
15,Heading 9971 (Financial and related services),(v) Leasing of motor vehicles purchased and leased prior to 1st July 2017;,"65 per cent. of the rate of central tax as applicabl e on supply of like goods involving transfer of title in goods. Note:- Nothing contained in this entry shall apply on or after 1st July, 2020.","65 per cent. of the rate of state/UT tax as applicabl e on supply of like goods involving transfer of title in goods. Note:- Nothing contained in this entry shall apply on or after 1st July, 2020.","65 per cent. of the rate of integrated tax as applicabl e on supply of like goods involving transfer of title in goods. Note:- Nothing contained in this entry shall apply on or after 1st July, 2020.",-
15,Heading 9971 (Financial and related services),(vi) Service of third party insurance of “goods carriage”,6,6,12,-
15,Heading 9971 (Financial and related services),"(vii) Financial and related services other than (ii), (iii) , (v), and (vi) above.",9,9,18,-
16,Heading 9972,"(i) Services by the Central Government, State Government, Union territory or local authority to governmental authority or government entity, by way of lease of land.",Nil,Nil,Nil,-
16,Heading 9972,"(ii) Supply of land or undivided share of land by way of lease or sub lease where such supply is a part of composite supply of construction of flats etc. specified in the entry in column (3) against serial number 3, at item [(i) (ia), (ib), (ic), (id), (ie) and (if)]78. Provided that nothing contained in this entry shall apply to an amount charged for such lease and sub-lease in excess of one third of the total amount charged for the said composite supply. Total amount shall have the same meaning for the purpose of this proviso as given in paragraph 2 of this notification.",Nil,Nil,Nil,-
16,Heading 9972,(iii) Real estate services other than (i) and (ii) above.,9,9,18,-
17,Heading 9973 (Leasing or rental services without operator),(ii) Temporary or permanent transfer or permitting the use or enjoyment of Intellectual Property (IP) right.,9,9,18,-
17,Heading 9973 (Leasing or rental services without operator),"(iii) Transfer of the right to use any goods for any purpose (whether or not for a specified period) for cash, deferred payment or other valuable consideration.",Same rate of central tax as on supply of like goods involving transfer of title in goods,Same rate of state/UT tax as on supply of like goods involving transfer of title in goods,Same rate of integrated tax as on supply of like goods involving transfer of title in goods,-
17,Heading 9973 (Leasing or rental services without operator),(iv) Any transfer of right in goods or of undivided share in goods without the transfer of title thereof.,Same rate of central tax as on supply of like goods involving transfer of title in goods,Same rate of state/UT tax as on supply of like goods involving transfer of title in goods,Same rate of integrated tax as on supply of like goods involving transfer of title in goods,-
17,Heading 9973 (Leasing or rental services without operator),(vi) Leasing of motor vehicles purchased and leased prior to 1st July 2017;,"65 per cent. of the rate of central tax as applicabl e on supply of like goods involving transfer of title in goods. Note:- Nothing contained in this entry shall apply on or after 1st July, 2020.","65 per cent. of the rate of state/UT tax as applicabl e on supply of like goods involving transfer of title in goods. Note:- Nothing contained in this entry shall apply on or after 1st July, 2020.","65 per cent. of the rate of integrated tax as applicabl e on supply of like goods involving transfer of title in goods. Note:- Nothing contained in this entry shall apply on or after 1st July, 2020.",-]
17,Heading 9973 (Leasing or rental services without operator),{(viia) Leasing or renting of goods,Same rate of egrated tax as applicabl e on supply of like goods involving transfer of title in goods.,Same rate of integrated tax as applicabl e on supply of like goods involving transfer of title in goods.,Same rate of integrated tax as applicabl e on supply of like goods involving transfer of title in goods.,
17,Heading 9973 (Leasing or rental services without operator),"(viii) Leasing or rental services, without operator, other than (i), (ii), (iii), (iv), (vi), and (viia) above.",9,9,18,-
18,Section 8,Business and Production Services,,,,
19,Heading 9981,Research and development services.,9,9,18,-
20,Heading 9982,Legal and accounting services.,8,9,18,-
21,"Heading 9983 (Other professional, technical and business services)",(i) Selling of space for advertisement in print media.,2.5,2.5,5,-
21,"Heading 9983 (Other professional, technical and business services)","(ia) Other professional, technical and business services relating to exploration, mining or drilling of petroleum crude or natural gas or both",6,6,12,-
21,"Heading 9983 (Other professional, technical and business services)","(ii) Other professional, technical and business services other than [(i) and (ia) above and serial number 38 below",9,9,18,-
22,"Heading 9984 (Telecommuni cations, broadcasting and information supply services)","(i) Supply consisting only of e-book. Explanation.- For the purposes of this notification, “e-books” means an electronic version of a printed book (falling under tariff item 4901 in the First Schedule to the Customs Tariff Act, 1975 (51 of 1975)) supplied online which can be read on a computer or a hand held device.",2.5,2.5,5,-
22,"Heading 9984 (Telecommuni cations, broadcasting and information supply services)","(ii) Telecommunications, broadcasting and information supply services other than (i) above.",9,9,18,-
23,Heading 9985 (Support services),"(i) Supply of tour operators services.         Explanation.- ""tour operator"" means any person engaged in the business of planning, scheduling, organizing, arranging tours (which may include arrangements for accommodation, sightseeing or other similar services) by any mode of transport, and includes any person engaged in the business of operating tours.",2.5,2.5,5,"1. Provided that credit of input tax charged on goods and services used in supplying the service[, other than the input tax credit of input service in the same line of business (i.e. tour operator service procured from another tour operator)]93 has not been taken [Please refer to Explanation no. (iv)] 2. The bill issued for supply of this service indicates that it is inclusive of chargesof accommodation and transportation required for such a tour and the amount charged in the bill is the gross amount charged for such a tour including the charges of accommodation and transportation required for such a tour."
23,Heading 9985 (Support services),"(ii) Services by way of house-keeping, such as plumbing, carpentering, etc. where the person supplying such service through electronic commerce operator is not liable for registration under sub-section (1) of section 22 of the Central Goods and Services Tax Act, 2017.",2.5,2.5,5,Provided that credit of input tax charged on goods and services has not been taken [Please refer to Explanation no. (iv)].
23,Heading 9985 (Support services),(iii) Support services other than (i) and (ii) above,9,9,18,-
24,"Heading 9986 [(Support services to agriculture, hunting, forestry, fishing, mining and utilities)]96","(i) Support services to agriculture, forestry, fishing, animal husbandry. Explanation. - Support services to agriculture, forestry, fishing, animal husbandry         mean         - (i) Services relating to cultivation of plants and rearing of all life forms of animals, except the rearing of horses, for food, fibre, fuel, raw material or other similar products or agricultural produce by way of— (a) agricultural operations directly related to production of any agricultural produce including cultivation, harvesting, threshing, plant protection or testing; (b) supply of farm labour; (c) processes carried out at an agricultural farm including tending, pruning, cutting, harvesting, drying, cleaning, trimming, sun drying, fumigating, curing, sorting, grading, cooling or bulk packaging and such like operations which do not alter the essential characteristics of agricultural produce but make it only marketable for the primary market; (d) renting or leasing of agro machinery or vacant land with or without a structure incidental to its use; (e) loading, unloading, packing, storage or warehousing of agricultural produce; (f) agricultural extension services; (g) services by any Agricultural Produce Marketing Committee or Board or services provided by a commission agent for sale or purchase of agricultural produce. [(h) services by way of fumigation in a warehouse of agricultural produce.]97 (ii) Services by way of pre-conditioning, pre-cooling, ripening, waxing, retail packing, labelling of fruits and vegetables which do not change or alter the essential characteristics of the said fruits or vegetables. (iii) Carrying out an intermediate production process as job work in relation to cultivation of plants and rearing of all life forms of animals, except the rearing of horses, for food, fibre, fuel, raw material or other similar products or agricultural produce.",Nil,Nil,Nil,-
24,"Heading 9986 [(Support services to agriculture, hunting, forestry, fishing, mining and utilities)]96","(ii) [Support services to]98 exploration, mining or drilling of petroleum crude or natural gas or both.",6,6,12,-
24,"Heading 9986 [(Support services to agriculture, hunting, forestry, fishing, mining and utilities)]96","(iii) Support services to mining, electricity, gas and water distribution other than (ii) above.",9,9,18,-
25,Heading 9987,"(i) Services by way of house-keeping, such as plumbing, carpentering, etc. where the person supplying such service through electronic commerce operator is not liable for registration under sub-section (1) of section 22 of the Central Goods and Services Tax Act, 2017",2.5,2.5,5,Provided that credit of input tax charged on goods and services has not been taken [Please refer to Explanation no. (iv)].
25,Heading 9987,"(ia) Maintenance, repair or overhaul services in respect of aircrafts, aircraft engines and other aircraft components or parts.",2.5,2.5,5,-
25,Heading 9987,"(ib) Maintenance, repair or overhaul services in respect of ships and other vessels, their engines and other components or parts.",2.5,2.5,5,-
25,Heading 9987,"(ii) Maintenance, repair and installation (except construction) services, other than (i) [,(ia) and (ib)]103 above [and serial number 38 below]104.",9,9,18,-
26,Heading 9988 (Manufacturing services on physical inputs (goods) owned by others),"(i) Services by way of job work in relation to- (a) Printing of newspapers; (b) Textiles and textile products falling under Chapter 50 to 63 in the First Schedule to the Customs Tariff Act, 1975 (51of 1975) (c) all products [other than diamonds]108 falling under Chapter 71 in the First Schedule to the Customs Tariff Act, 1975 (51of 1975); (d) Printing of books (including Braille books), journals and periodicals; (da) printing of all goods falling under Chapter 48 or 49, which attract IGST @ 5 per cent. or Nil; (g) all products falling under Chapter 23 in the First Schedule to the Customs Tariff Act, 1975 (51of 1975), except dog and cat food put up for retail sale falling under tariff item 23091000 of the said chapter; (i) manufacture of handicraft goods. Explanation.- The expression “handicraft goods” shall have the same meaning as assigned to it in the notification No. 32/2017 -Central Tax, dated the 15th September, 2017 published in the Gazette of India, Extraordinary, Part II, Section 3, Sub-section (i), vide number G.S.R. 1158 (E), dated the 15th September, 2017 as amended from time to time",2.5,2.5,5,-
26,Heading 9988 (Manufacturing services on physical inputs (goods) owned by others),"(ia) Services by way of job work in relation to- (a) manufacture of umbrella; (b) printing of all goods falling under Chapter 48 or 49, which attract IGST @ 12 per cent.",6,6,12,-
